@relation dataset_v3_10_12

@attribute household_key numeric
@attribute products_purchased numeric
@attribute no_of_stores numeric
@attribute no_of_orders numeric
@attribute total_visits numeric
@attribute no_of_national_products numeric
@attribute recency numeric
@attribute weekend_visits numeric
@attribute BrandNationalPercent numeric
@attribute PercentWeekendVisits numeric
@attribute Average_Basket_Size numeric
@attribute AGE_INDEX numeric
@attribute INCOME_INDEX numeric
@attribute HOUSEHOLD_SIZE_INDEX numeric
@attribute total_sales_log numeric
@attribute total_sales_class {Medium,Low,High}

@data
117,1530,5,92,89,950,1,14,62,16,16.630435,6,4,2,7.82419,Low
1172,1558,7,166,144,826,2,46,53,32,9.385542,2,5,1,8.420775,Medium
1174,1260,9,122,102,672,8,35,53,34,10.327869,2,1,5,7.676311,Low
1175,1849,8,93,90,1461,7,44,79,49,19.88172,2,5,2,8.657618,Medium
1178,1822,13,192,188,807,4,63,44,34,9.489583,4,2,1,8.39838,Medium
1179,3204,12,163,146,2077,6,50,65,34,19.656442,3,5,2,9.000336,High
118,1853,6,70,68,1058,5,28,57,41,26.471429,4,4,1,8.309775,Medium
1186,1617,3,70,66,1161,4,15,72,23,23.1,4,5,5,8.65743,Medium
1188,2583,2,143,122,1484,6,49,57,40,18.062937,4,4,1,8.21371,Medium
119,842,10,62,58,648,3,26,77,45,13.580645,4,8,1,7.860575,Low
1190,1423,4,230,193,838,1,55,59,28,6.186957,2,4,2,7.925237,Medium
1197,2357,7,123,113,1629,7,37,69,33,19.162602,3,9,2,8.846372,High
121,1079,9,107,89,554,43,35,51,39,10.084112,4,3,3,7.67952,Low
1218,1366,5,83,76,820,10,17,60,22,16.457831,4,4,4,7.897218,Medium
1219,478,3,121,110,250,3,35,52,32,3.950413,1,2,3,6.713053,Low
1222,2688,8,174,156,1618,3,52,60,33,15.448276,4,2,1,8.671354,Medium
1226,3219,4,76,73,1541,11,29,48,40,42.355263,2,4,3,8.738328,Medium
1228,4633,14,690,453,2433,1,146,53,32,6.714493,4,7,1,9.390333,High
1229,5462,10,287,263,3746,1,63,69,24,19.031359,5,9,2,9.634999,High
123,1427,8,162,146,728,21,64,51,44,8.808642,4,4,2,7.998789,Medium
1234,2023,5,94,93,1330,2,19,66,20,21.521277,4,4,2,8.621162,Medium
1236,1956,4,194,165,1057,3,77,54,47,10.082474,3,5,3,8.292301,Medium
1240,3379,4,180,160,2294,1,74,68,46,18.772222,4,1,2,9.224896,High
1247,3069,5,118,110,2053,3,26,67,24,26.008475,3,4,2,8.784155,Medium
1248,3396,2,141,131,1878,10,19,55,15,24.085106,4,5,2,9.072327,High
1256,1950,3,157,153,1422,6,41,73,27,12.420382,4,5,2,8.514116,Medium
1257,581,6,27,27,353,5,6,61,22,21.518519,4,5,3,7.126859,Low
1258,1410,11,222,206,906,1,67,64,33,6.351351,4,6,1,8.126471,Medium
1260,4373,2,166,129,2969,1,36,68,28,26.343373,6,5,1,9.320837,High
